Winner;Moves;Time;P1 time;P2 time
1 ;20 ;38254 ;483 ;1530 
2 ;13 ;30920 ;634 ;1793 
2 ;13 ;30624 ;839 ;1580 
2 ;13 ;30926 ;635 ;1792 
0 ;21 ;32202 ;511 ;1046 
2 ;19 ;49395 ;855 ;1789 
1 ;17 ;21098 ;416 ;902 
2 ;19 ;49254 ;856 ;1780 
2 ;18 ;46936 ;1209 ;1464 
2 ;19 ;49252 ;856 ;1780 
1 ;20 ;38244 ;480 ;1532 
2 ;19 ;49238 ;855 ;1781 
2 ;19 ;49253 ;856 ;1781 
2 ;19 ;49249 ;856 ;1780 
2 ;19 ;49238 ;858 ;1778 
2 ;19 ;49253 ;854 ;1782 
0 ;21 ;32207 ;511 ;1046 
2 ;13 ;30624 ;834 ;1585 
0 ;21 ;32202 ;510 ;1046 
2 ;13 ;30921 ;633 ;1794 
-----------;------------
moves;17.75
times;39464.5
timeP1Move;727.05
timeP2Move;1568.05
AlphaBeta;3
AlphaBeta;14
draws;3
