Winner;Moves;Time;P1 time;P2 time
2 ;18 ;21114 ;882 ;339 
2 ;18 ;21114 ;883 ;338 
1 ;18 ;94829 ;3379 ;2198 
2 ;18 ;19427 ;801 ;322 
2 ;19 ;102653 ;3162 ;2406 
0 ;21 ;31858 ;945 ;617 
2 ;19 ;102638 ;3161 ;2406 
2 ;18 ;21114 ;880 ;341 
2 ;18 ;19427 ;799 ;324 
1 ;18 ;94861 ;3381 ;2198 
1 ;18 ;94815 ;3373 ;2203 
2 ;18 ;21739 ;837 ;416 
0 ;21 ;31860 ;946 ;615 
1 ;18 ;95116 ;3383 ;2211 
1 ;18 ;94846 ;3377 ;2201 
2 ;18 ;21729 ;838 ;415 
1 ;18 ;94861 ;3380 ;2199 
2 ;18 ;19527 ;808 ;321 
2 ;19 ;102570 ;3158 ;2406 
2 ;18 ;19442 ;803 ;321 
-----------;------------
moves;18.45
times;56277.0
timeP1Move;1958.8
timeP2Move;1239.85
AlphaBeta;6
AlphaBeta;12
draws;2
