Winner;Moves;Time;P1 time;P2 time
0 ;21 ;11526 ;21 ;528 
2 ;17 ;9557 ;65 ;500 
2 ;17 ;19270 ;70 ;1067 
2 ;17 ;16296 ;88 ;874 
2 ;17 ;19255 ;69 ;1067 
0 ;21 ;11526 ;22 ;527 
2 ;17 ;16140 ;82 ;872 
2 ;19 ;14656 ;38 ;735 
2 ;17 ;19379 ;65 ;1078 
2 ;17 ;16609 ;85 ;896 
2 ;17 ;16130 ;84 ;869 
2 ;19 ;14708 ;34 ;741 
2 ;17 ;19312 ;72 ;1068 
0 ;21 ;11531 ;20 ;529 
2 ;19 ;14530 ;33 ;732 
0 ;21 ;11526 ;21 ;528 
2 ;17 ;19427 ;69 ;1077 
0 ;21 ;11525 ;20 ;529 
2 ;19 ;14547 ;33 ;733 
2 ;17 ;14109 ;40 ;792 
-----------;------------
moves;18.4
times;15077.95
timeP1Move;51.55
timeP2Move;787.1
AlphaBeta;0
MinMax;15
draws;5
