Winner;Moves;Time;P1 time;P2 time
1 ;4 ;455 ;151 ;0 
1 ;8 ;470 ;67 ;0 
1 ;5 ;1186 ;296 ;0 
1 ;5 ;1200 ;300 ;0 
1 ;9 ;250 ;31 ;0 
1 ;9 ;270 ;33 ;0 
1 ;4 ;360 ;120 ;0 
1 ;4 ;360 ;120 ;0 
1 ;4 ;257 ;85 ;0 
1 ;5 ;1180 ;295 ;0 
1 ;4 ;340 ;113 ;0 
1 ;9 ;250 ;31 ;0 
1 ;8 ;470 ;67 ;0 
1 ;4 ;345 ;115 ;0 
1 ;4 ;305 ;101 ;0 
1 ;4 ;220 ;73 ;0 
1 ;9 ;250 ;31 ;0 
1 ;4 ;321 ;107 ;0 
1 ;5 ;1159 ;289 ;0 
1 ;8 ;470 ;67 ;0 
-----------;------------
moves;5.8
times;505.9
timeP1Move;124.6
timeP2Move;0.0
AlphaBeta;20
NegaScout;0
draws;0
