Winner;Moves;Time;P1 time;P2 time
2 ;19 ;13516 ;725 ;23 
2 ;17 ;18692 ;1084 ;78 
2 ;17 ;18499 ;1072 ;78 
2 ;17 ;13187 ;786 ;35 
2 ;17 ;9109 ;505 ;59 
2 ;10 ;14171 ;1442 ;118 
2 ;17 ;18734 ;1088 ;77 
2 ;17 ;18520 ;1075 ;77 
2 ;17 ;8900 ;495 ;57 
0 ;21 ;11167 ;530 ;26 
2 ;17 ;18692 ;1088 ;75 
2 ;19 ;13499 ;724 ;24 
2 ;17 ;8927 ;497 ;56 
0 ;21 ;11156 ;530 ;26 
2 ;17 ;15546 ;869 ;96 
2 ;17 ;18656 ;1083 ;78 
2 ;17 ;13171 ;782 ;38 
2 ;17 ;8886 ;495 ;56 
2 ;17 ;18504 ;1074 ;77 
2 ;17 ;18750 ;1088 ;78 
-----------;------------
moves;17.25
times;14514.1
timeP1Move;851.6
timeP2Move;61.6
MinMax;0
AlphaBeta;18
draws;2
