Winner;Moves;Time;P1 time;P2 time
2 ;4 ;220 ;0 ;55 
2 ;5 ;230 ;0 ;46 
2 ;4 ;390 ;0 ;97 
2 ;6 ;460 ;0 ;76 
2 ;4 ;230 ;0 ;57 
2 ;5 ;210 ;0 ;42 
2 ;4 ;210 ;0 ;52 
2 ;5 ;595 ;0 ;119 
2 ;6 ;475 ;0 ;79 
2 ;5 ;220 ;0 ;44 
2 ;4 ;370 ;0 ;92 
2 ;5 ;220 ;0 ;44 
2 ;4 ;410 ;0 ;102 
2 ;4 ;450 ;0 ;112 
2 ;4 ;270 ;0 ;67 
2 ;5 ;210 ;0 ;42 
2 ;4 ;250 ;0 ;62 
2 ;4 ;210 ;0 ;52 
2 ;5 ;565 ;0 ;113 
2 ;5 ;215 ;2 ;41 
-----------;------------
moves;4.6
times;320.5
timeP1Move;0.1
timeP2Move;69.7
NegaScout;0
AlphaBeta;20
draws;0
